# Freq.,Pxx2,Pxx3,Pxx4
1.010000000000000000e+02,8.172465224945307619e-08,9.600422167964645022e-08,1.272325419142593990e-07
1.020000000000000000e+02,9.125555497728974350e-08,1.031455700426718038e-07,1.232327222430838444e-07
1.030000000000000000e+02,7.753066954978551299e-08,1.192783296992597845e-07,9.885817534268390481e-08
1.040000000000000000e+02,6.050235422950682796e-08,9.802209351676330900e-08,8.924572726856943098e-08
1.050000000000000000e+02,6.339079846332353818e-08,9.346672657835066635e-08,1.017024349573443830e-07
1.060000000000000000e+02,5.002243098716476873e-08,7.973815375372240302e-08,9.807966101884647307e-08
1.070000000000000000e+02,4.641482321717915060e-08,8.227915080930266528e-08,8.746385179991615429e-08
1.080000000000000000e+02,6.350116442748921033e-08,8.895363895651071234e-08,7.636987468276596296e-08
1.090000000000000000e+02,4.698570575607754015e-08,7.505250235900024765e-08,6.865217848929854330e-08
1.100000000000000000e+02,3.967693094726200126e-08,7.437271839050516091e-08,5.669106642130403258e-08
1.110000000000000000e+02,3.483581809776187258e-08,7.801567579592386683e-08,6.906572323686369008e-08
1.120000000000000000e+02,3.660840618301684358e-08,5.568004223971962798e-08,6.614319545178620291e-08
1.130000000000000000e+02,4.249382315769705018e-08,6.720298312805780347e-08,5.738314700867533355e-08
1.140000000000000000e+02,4.609782259034424125e-08,8.677398674374337615e-08,6.633047015220060733e-08
1.150000000000000000e+02,4.412086869190812020e-08,6.842404251419905130e-08,7.059377281046273335e-08
1.160000000000000000e+02,4.397043879150334988e-08,5.615156284077944676e-08,6.870799567941188071e-08
1.170000000000000000e+02,3.707215479358957433e-08,5.546703541241964475e-08,5.246568074759144336e-08
1.180000000000000000e+02,2.967690716548004426e-08,4.528242583767811148e-08,7.320407728881535153e-08
1.190000000000000000e+02,2.630258487197963961e-08,4.908844708039534747e-08,6.653991132134392542e-08
1.200000000000000000e+02,2.134798446199953475e-08,4.661568916439738429e-08,5.808559761320338968e-08
1.210000000000000000e+02,1.703962715621819309e-08,4.726875046543033499e-08,6.428047261840726239e-08
1.220000000000000000e+02,1.715314240603105710e-08,5.911164064433225005e-08,5.843999039938381276e-08
1.230000000000000000e+02,1.850762084211701684e-08,5.635253083412079437e-08,6.550580190944024088e-08
1.240000000000000000e+02,1.708842222269779247e-08,5.060021033388808324e-08,6.496748650912212785e-08
1.250000000000000000e+02,1.484125581800316830e-08,4.980503769571995781e-08,6.810839742891555524e-08
1.260000000000000000e+02,1.471481958180233272e-08,4.535955046527736780e-08,5.988091398658333995e-08
1.270000000000000000e+02,1.827644970783709335e-08,4.288589412879954902e-08,5.440944278482738657e-08
1.280000000000000000e+02,1.792665500054493818e-08,4.578871815608629163e-08,7.359309545309641573e-08
1.290000000000000000e+02,1.547272333201556086e-08,4.806304668843789271e-08,6.816549622534448767e-08
1.300000000000000000e+02,1.567000101142323954e-08,5.101553910023556318e-08,7.079819111734075904e-08
1.310000000000000000e+02,2.388717675588094646e-08,5.785507127879950200e-08,6.950167751002602858e-08
1.320000000000000000e+02,2.894947154146496907e-08,4.093193568951246143e-08,5.394443478269914969e-08
1.330000000000000000e+02,1.877110266382172839e-08,4.428395984512582431e-08,4.696670021029430906e-08
1.340000000000000000e+02,2.238243381416968412e-08,4.759964306001277211e-08,5.523269068680095822e-08
1.350000000000000000e+02,2.235753191930515681e-08,5.286330622819159570e-08,7.616989268254829929e-08
1.360000000000000000e+02,1.811192766042482947e-08,5.213460749803796292e-08,7.628396423790049108e-08
1.370000000000000000e+02,1.762850375417043458e-08,4.513487883975111187e-08,6.245239918299638651e-08
1.380000000000000000e+02,1.750649489471855964e-08,5.241561409291669563e-08,5.388088168122168475e-08
1.390000000000000000e+02,1.950241731527664671e-08,4.416770838104404638e-08,5.410100949822560220e-08
1.400000000000000000e+02,2.253337432765897337e-08,5.228251807068905943e-08,5.177202732856033540e-08
1.410000000000000000e+02,2.192341650218590675e-08,5.492069500678348781e-08,5.834181894861886143e-08
1.420000000000000000e+02,1.833896973382766852e-08,5.439873154012663909e-08,5.866663337143898616e-08
1.430000000000000000e+02,1.661001136005267369e-08,4.811417262364098933e-08,5.747672425213686367e-08
1.440000000000000000e+02,1.612583646803574012e-08,5.106400018315107530e-08,5.840592617804390014e-08
1.450000000000000000e+02,1.414830108619391260e-08,5.695634782431206802e-08,4.936805928821363229e-08
1.460000000000000000e+02,1.248377171116586906e-08,4.891791392961389878e-08,5.524593119583152099e-08
1.470000000000000000e+02,1.330604950196874055e-08,4.129826907833078794e-08,5.951846450472819233e-08
1.480000000000000000e+02,1.406340368798436407e-08,3.581105812652180183e-08,4.868113542979245603e-08
1.490000000000000000e+02,1.361165902650536182e-08,3.394301618054936089e-08,4.756613894591358982e-08
1.500000000000000000e+02,1.513055521083074439e-08,4.401703931831364373e-08,5.517421754097556602e-08
